Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
140,Simone Perilli,it ITA,Hellas Verona,it Serie A,28,1995,1,1,90,2,2.00,10,8,80.0,0,1,0,0,0.0,0,0,Unknown
141,Mattia Perin,it ITA,Juventus,it Serie A,30,1992,3,3,225,1,0.40,5,4,80.0,2,1,0,1,33.3,0,0,Unknown
142,Samuele Perisan,it ITA,Empoli,it Serie A,25,1997,1,1,90,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,Unknown
143,Pavao Pervan,at AUT,Wolfsburg,de Bundesliga,35,1987,9,9,810,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,Unknown
144,Denis Petrić,rs SRB,Nantes,fr Ligue 1,35,1988,1,0,24,1,3.75,1,0,0.0,0,0,0,0,Unknown,0,0,Unknown
145,Đorđe Petrović,rs SRB,Chelsea,eng Premier League,23,1999,23,22,1987,38,1.72,108,73,65.7,13,5,4,5,22.7,1,0,0.0
146,Jordan Pickford,eng ENG,Everton,eng Premier League,29,1994,38,38,3420,51,1.34,165,117,73.9,13,9,16,13,34.2,8,0,0.0
147,Carlo Pinsoglio,it ITA,Juventus,it Serie A,33,1990,1,0,45,0,0.00,3,3,100.0,0,0,0,1,Unknown,0,0,Unknown
148,Nick Pope,eng ENG,Newcastle Utd,eng Premier League,31,1992,15,15,1345,16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,Unknown
149,Ivan Provedel,it ITA,Lazio,it Serie A,29,1994,30,30,2699,33,1.10,119,86,73.9,12,6,12,9,30.0,2,0,0.0
150,Ionuț Radu,ro ROU,Bournemouth,eng Premier League,26,1997,2,2,180,7,3.50,11,4,36.4,1,0,1,0,0.0,0,0,Unknown
151,Boris Radunović,rs SRB,Cagliari,it Serie A,27,1996,7,7,630,12,1.71,27,16,55.6,0,2,5,2,28.6,0,0,Unknown
152,Predrag Rajković,rs SRB,Mallorca,es La Liga,27,1995,36,36,3240,43,1.19,138,95,71.7,7,15,14,9,25.0,4,1,20.0
153,Aaron Ramsdale,eng ENG,Arsenal,eng Premier League,25,1998,6,6,540,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,Unknown
154,Federico Ravaglia,it ITA,Bologna,it Serie A,23,1999,6,6,535,3,0.50,18,13,83.3,4,1,1,4,66.7,0,1,100.0
155,David Raya,es ESP,Arsenal,eng Premier League,27,1995,32,32,2880,24,0.75,69,45,68.1,23,4,5,16,50.0,2,1,33.3
156,Pepe Reina,es ESP,Villarreal,es La Liga,40,1982,2,2,180,2,1.00,9,7,77.8,1,1,0,0,0.0,0,0,Unknown
157,Álex Remiro,es ESP,Real Sociedad,es La Liga,28,1995,37,37,3275,36,0.99,130,94,76.2,16,12,9,15,40.5,5,1,16.7
158,Guillaume Restes,fr FRA,Toulouse,fr Ligue 1,18,2005,34,34,3060,46,1.35,139,93,69.8,11,10,13,6,17.6,4,0,0.0
