Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
181,Alex Baena,es ESP,MG,Villarreal,es La Liga,22.0,2001.0,34,33,2579,28.7,2,14,16,2,0,1,11,1,7.9,7.1,9.2,16.3,84.0,165.0,181.0,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57,alex baena,exact
182,Jaime Báez,uy URU,MG,Frosinone,it Serie A,28.0,1995.0,11,6,500,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12.0,29.0,39.0,0.18,0.0,0.18,0.18,0.18,0.08,0.1,0.18,0.08,0.18,jaime baez,exact
183,Nicola Bagnolini,it ITA,G,Bologna,it Serie A,19.0,2004.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nicola bagnolini,exact
184,Leon Bailey,jm JAM,MD,Aston Villa,eng Premier League,25.0,1997.0,35,22,2068,23.0,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,102.0,82.0,226.0,0.44,0.39,0.83,0.44,0.83,0.27,0.4,0.67,0.27,0.67,leon bailey,exact
185,Eric Bailly,ci CIV,DEF,Villarreal,es La Liga,29.0,1994.0,10,9,839,9.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,eric bailly,exact
186,Stefan Bajcetic,es ESP,MIL,Liverpool,eng Premier League,18.0,2004.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stefan bajcetic,exact
187,Nedim Bajrami,al ALB,MOC,Sassuolo,it Serie A,24.0,1999.0,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,nedim bajrami,exact
188,Cédric Bakambu,cd COD,BU,Betis,es La Liga,32.0,1991.0,4,2,194,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.33,0.2,0.33,cedric bakambu,exact
189,Tiemoué Bakayoko,fr FRA,MIL,Lorient,fr Ligue 1,28.0,1994.0,20,15,1314,14.6,2,1,3,2,0,0,5,0,1.7,1.7,0.5,2.2,14.0,54.0,15.0,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15,tiemoue bakayoko,exact
190,Mitchel Bakker,nl NED,MG,Atalanta,it Serie A,23.0,2000.0,14,3,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12.0,10.0,20.0,0.24,0.0,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08,mitchel bakker,exact
191,Ridle Baku,de GER,MD,Wolfsburg,de Bundesliga,25.0,1998.0,33,22,2013,22.4,1,0,1,1,0,0,4,0,1.8,1.8,3.0,4.8,37.0,85.0,130.0,0.04,0.0,0.04,0.04,0.04,0.08,0.13,0.21,0.08,0.21,ridle baku,exact
192,Dilane Bakwa,fr FRA,BU,Strasbourg,fr Ligue 1,20.0,2002.0,31,25,2177,24.2,3,6,9,3,0,0,4,1,3.2,3.2,6.2,9.4,94.0,92.0,204.0,0.12,0.25,0.37,0.12,0.37,0.13,0.26,0.39,0.13,0.39,dilane bakwa,exact
193,Tommaso Baldanzi,it ITA,MOC,Empoli,it Serie A,20.0,2003.0,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20.0,30.0,40.0,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,tommaso baldanzi,exact
194,Tommaso Baldanzi,it ITA,MOC,Roma,it Serie A,20.0,2003.0,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27,0.15,0.27,tommaso baldanzi,exact
195,Alejandro Balde,es ESP,DG,Barcelona,es La Liga,19.0,2003.0,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,alejandro balde,exact
196,Aliou Baldé,gn GUI,ATT,Nice,fr Ligue 1,20.0,2002.0,7,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,aliou balde,exact
197,George Baldock,gr GRE,DC,Sheffield Utd,eng Premier League,30.0,1993.0,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.0,0.8,0.8,9.0,31.0,24.0,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.08,0.0,0.08,george baldock,exact
