Name,Position
Tom Rothe,DEF
Mathias Olesen,MIL
Shio Fukuda,ATT
Jordi Osei-Tutu,DEF
Florent Muslija,MIL
Chris Bedia,ATT
Agon Elezi,MIL
Caden Clark,MIL
Borna Sosa,DEF
Lasse Günther,DEF
Hugo Johannes Walter Rölleke,G
Lukas Ullrich,DEF
Joshua Eze,MIL
Niklas Sauter,G
Florian Niederlechner,ATT
Nathaniel Brown,DEF
Maximilian Rosenfelder,DEF
Spyridon Angelidis,G
Daniel Hausmann,ATT
Mika Baur,ATT
Marko Mladenović,MIL
Noah Mbamba,MIL
Jude Bellingham,MIL
Reno Morris Münz,DEF
Marcus Müller,ATT
Ronaël Pierre-Gabriel,DEF
Igor Matanović,ATT
Anders Rønne Børset,DEF
Luca Raimund,MIL
Frank Feller,G
Ulysses Llanez,MIL
Luis Hartwig,ATT
David Josef Deger,MIL
Max Scholze,ATT
Mikolaj Marutzki,G
Miloš Pantović,MIL
Jens Castrop,MIL
Nishan Burkart,ATT
Magnus Warming,ATT
Maximilian Brüll,G
Fabrice Hartmann,MIL
Sadio Mané,ATT
Wataru Endo,MIL
Liam Morrison,DEF
Göktan Gürpüz,MIL
Kofi Amoako,MIL
Anthony Modeste,ATT
Ayman Aourir,MIL
Kasim Nuhu,DEF
Nils Ramming,G
Florian Müller,G
Frank Ronstadt,DEF
Tim Köther,MIL
Marcel Wenig,MIL
Laurenz Dehl,MIL
Jozo Stanić,DEF
Maximilian Heini Wendt,G
Paul-Philipp Besong,ATT
Laurin Ulrich,MIL
Genki Haraguchi,MIL
Hugo Novoa,ATT
